tipo_celular,module_size,ELMO2_MM,ELMO2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,477.0,0.105,12.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,932.0,0.083,12.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07),2.07,4.33
oligodendrocyte progenitor cells 7,200.0,0.138,33.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,848.0,0.108,8.0,262,6,2.29,1.10 (0.49-1.72),256,97.71,4.24 (4.00-4.48),8.04,4.01
GLU like neurons 17,685.0,0.061,7.0,135,6,4.44,1.26 (0.47-2.05),129,95.56,3.24 (2.93-3.55),2.78,3.79
da like neurons 11,853.0,0.075,9.0,133,6,4.51,3.60 (1.93-5.28),127,95.49,3.23 (2.92-3.55),2.96,4.22
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.085,14.0,62,3,4.84,5.98 (NA-NA),59,95.16,4.01 (3.56-4.46),2.09,4.32
oligodendrocytes 20,250.0,0.275,76.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052.0,0.124,37.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.067,33.0,66,7,10.61,2.14 (1.03-3.24),59,89.39,3.38 (2.94-3.82),4.00,2.83
oligodendrocyte progenitor cells 12,708.0,0.04,6.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,1277.0,0.039,6.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.075,40.0,96,6,6.25,4.87 (3.77-5.97),90,93.75,3.51 (3.04-3.98),4.01,3.78
oligodendrocytes 16,82.0,0.113,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,115.0,0.305,48.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.157,61.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,2078.0,0.145,97.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88),9.83,4.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.073,29.0,15,3,20.0,1.15 (0.02-2.28),12,80.0,3.96 (2.42-5.50),3.06,2.01
oligodendrocytes 2,1630.0,0.146,59.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
