tipo_celular,module_size,KTN1_MM,KTN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.129,9.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,388,0.096,15.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,1141,0.119,32.0,166,6,3.61,1.36 (0.54-2.18),160,96.39,3.48 (3.23-3.73),10.76,4.32
oligodendrocyte progenitor cells 7,4285,0.111,18.0,353,18,5.1,1.46 (0.97-1.94),335,94.9,4.06 (3.88-4.24),34.90,6.62
GABA neurons expressing GLU receptors 22,823,0.127,19.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1247,0.147,60.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,1220,0.074,5.0,410,10,2.44,2.95 (2.18-3.72),400,97.56,4.29 (4.10-4.48),10.89,7.43
GABA neurons expressing GABA receptors 13,90,0.083,4.0,4,2,50.0,2.99 (1.51-4.47),2,50.0,7.70 (7.70-7.70),2.07,1.61
endothelial cells 9,916,0.217,54.0,302,10,3.31,2.75 (1.94-3.56),292,96.69,4.04 (3.81-4.27),5.17,10.84
oligodendrocytes 20,938,0.293,94.0,169,5,2.96,1.70 (0.45-2.94),164,97.04,3.55 (3.33-3.76),5.76,5.35
GABA like neurons 14,2402,0.231,50.0,455,20,4.4,1.97 (1.38-2.55),435,95.6,4.50 (4.31-4.68),28.33,7.94
astrocytes 8,771,0.107,44.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,1049,0.17,80.0,235,6,2.55,3.29 (2.48-4.09),229,97.45,3.84 (3.60-4.08),4.95,7.68
oligodendrocytes 10,2107,0.218,74.0,358,15,4.19,1.24 (0.76-1.73),343,95.81,4.02 (3.83-4.20),39.07,8.18
connective tissue cells 21,69,0.247,24.0,1,0,0.0,NA,1,100.0,NA,NA,1.82
astrocytes 15,1768,0.128,83.0,105,15,14.29,2.30 (1.72-2.89),90,85.71,3.38 (3.01-3.75),6.41,3.57
oligodendrocytes 16,107,0.212,42.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29),3.11,3.61
da neurons 6,518,0.127,67.0,122,17,13.93,2.19 (1.50-2.88),105,86.07,4.36 (3.95-4.77),6.75,2.95
astrocytes microglia 23,253,0.202,22.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,752,0.139,29.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,546,0.165,47.0,252,24,9.52,1.99 (1.47-2.51),228,90.48,4.38 (4.14-4.62),10.47,7.97
microglia 1,406,0.077,4.0,278,1,0.36,6.60 (NA-NA),277,99.64,4.35 (4.08-4.62),2.05,6.75
oligodendrocytes 3,743,0.086,57.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54),6.14,7.37
oligodendrocytes 2,526,0.321,68.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
